pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,abs_tmag,sy_kepmag,abs_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,gaia_ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
HIP 65 A b,HIP 65 A,4923860051276772608,4923860051276772608,201248411,,0.1856063,-54.8308228,11.0,7.04580249076553,8.922,4.96780249076553,8.29,4.33580249076553,9.9005,5.94630249076553,,,10.5895,6.63530249076553,16.164144500365700,4590.0,4.611,0.18,0.781,0.7242,K4 V,-0.67799,4.1,4.3,-2.8,13.2,61.778804779052700,61.7470588684082,61.81645584106450,0.9061897993087770,LO,0.043901730328798300,0.9809734,22.75427,0.78576,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-136 b,WASP-136,2441013811932929280,2441013811932929280,176220787,,0.325761,-8.9262512,9.974,2.8459006350197,9.016,1.8879006350197,8.805,1.6769006350197,9.4834,2.3553006350197,,,9.81929,2.6911906350197,3.722455786323600,6250.0,3.9,-0.18,1.41,2.39014,F,0.82265,3.62,0.7,-0.7,5.4,266.4525451660160,264.5854187011720,268.2038879394530,1.0949751138687100,LO,0.10486375540494900,5.21536178778,16.81347105,5.5895721,SuperWASP,2016,WASP
KELT-1 b,KELT-1,2881784280929695360,2881784280929695360,432549364,,0.3620995,39.3837953,10.632,3.47621766293628,9.682,2.52621766293628,9.437,2.28121766293628,10.2242,3.06841766293628,,,10.5905,3.43471766293628,3.68363638949412,6516.0,4.228,0.052,1.335,1.471,,0.545,,,,,269.87115478515600,268.8409423828130,270.9493408203130,0.907860517501831,LO,0.06717699766159060,1.217514,12.442,2.76456,KELT,2012,KELT
HATS-34 b,HATS-34,4904523077718046720,4904523077718046720,355703913,,0.7744866,-62.4693167,13.857,5.34145071245144,12.513,3.99745071245144,12.095,3.57945071245144,13.183,4.66745071245144,,,13.679,5.16345071245144,1.94392154885599,5380.0,4.435,0.25,0.955,0.98,,-0.14026,7.7,2.7,-2.7,,504.7889709472660,502.0749206542970,507.4641418457030,1.0355201959610000,LO,0.0,2.1061607,16.02887,1.5552,HATSouth,2016,HAT
WASP-96 b,WASP-96,4990044668377961984,4990044668377961984,160148385,,1.0465696,-47.3606352,12.569,4.86553435739625,11.267,3.56353435739625,10.914,3.21053435739625,11.9116,4.20813435739625,,,12.3833,4.67983435739625,2.858990048504990,5540.0,4.42,0.14,1.06,1.05,G8,0.03226,8.0,26.0,-8.0,20.16,347.2906799316410,345.4013977050780,349.27423095703100,1.1545885801315300,LO,0.08287051320075990,3.4252602,13.45,2.4264,SuperWASP,2014,WASP
TOI-198 b,TOI-198,2333676738050041728,2333676738049780352,12421862,,2.2715087,-27.1217452,11.688,9.80843156745797,8.655,6.77543156745797,7.856,5.97643156745797,9.92801,8.04844156745797,,,10.9187,9.03913156745797,42.059154343344200,3650.0,4.75,-0.7,0.467,0.441,M0 V,-1.43315,5.3,1.0,-1.0,45.4,23.76367950439450,23.748178482055700,23.778644561767600,1.0856564044952400,LO,0.215557262301445,10.2152,1.44,1.631,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
WASP-44 b,WASP-44,2424406513428936832,2424406513428936832,12862099,,3.9032733,-11.9382645,13.096,5.32388011181008,11.702,3.92988011181008,11.341,3.56888011181008,12.3993,4.62718011181008,,,12.8964,5.12428011181008,2.764407014043510,5420.0,4.494,-0.003,0.935,0.906,G8 V,-0.19777,10.3,2.7,-5.0,,358.4461975097660,355.84417724609400,360.42742919921900,0.9556210041046140,LO,0.08256524801254270,2.423804,12.3299,2.2368,SuperWASP,2011,WASP
Gliese 12 b,Gliese 12,2768048564768256512,2768048564768256512,52005579,,3.9579137,13.5576175,12.6,12.1750414657822,8.619,8.19404146578225,7.807,7.38204146578225,10.1769,9.75194146578225,,,11.3963,10.9713414657822,82.19379738137910,3296.0,5.21,-0.32,0.2414,0.2617,M3.0 V,-2.13787,7.0,2.8,-2.2,85.0,12.161627769470200,12.156275749206500,12.166704177856400,1.19781494140625,LO,0.20658960938453700,12.761408,0.958,1.2,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-32 b,WASP-32,2546413408888429696,2546413408888429696,427332229,,3.9617073,1.2005122,11.257,4.0502755595915,10.503,3.2962755595915,10.161,2.9542755595915,11.021,3.8142755595915,,,11.409,4.2022755595915,3.570563157369840,6140.0,4.4,-0.13,0.72,0.95,,0.19345,2.22,0.62,-0.73,11.6,276.277099609375,273.1214294433590,279.41180419921900,1.7326322793960600,HI,0.2528117895126340,2.71866,10.76064,2.424,SuperWASP,2010,WASP
WASP-158 b,WASP-158,2424621502311961344,2424621502311961344,37718056,,4.1463468,-10.9764226,12.044,3.42078092942837,11.178,2.55478092942837,10.881,2.25778092942837,11.7083,3.08508092942837,,,12.0911,3.46788092942837,1.8509724501003800,6350.0,4.3,0.24,1.38,1.39,F6 V,0.48338,1.93,0.93,-0.93,,530.44921875,523.726806640625,536.9046630859380,1.7483841180801400,HI,0.1599552184343340,3.656333,11.99363,3.576,SuperWASP-South,2018,WASP
